,cos_scores,sorted_snippets
0,"tensor([0.2808, 0.1130, 0.2422, 0.1530, 0.1554])","tensor([0, 2, 4, 3, 1])"
1,"tensor([0.2287, 0.0224, 0.2129, 0.5941, 0.0286, 0.7531, 0.2268, 0.0859])","tensor([5, 3, 0, 6, 2, 7, 4, 1])"
2,"tensor([0.2293, 0.4130, 0.0914, 0.3129, 0.3237, 0.4396, 0.7442, 0.7638, 0.5992])","tensor([7, 6, 8, 5, 1, 4, 3, 0, 2])"
3,"tensor([0.6301, 0.1340, 0.2990, 0.3092, 0.2750, 0.2149])","tensor([0, 3, 2, 4, 5, 1])"
4,"tensor([0.2036, 0.0816, 0.0859, 0.0692, 0.1567, 0.1630, 0.0484, 0.6344])","tensor([7, 0, 5, 4, 2, 1, 3, 6])"
5,"tensor([0.2320, 0.1466, 0.6500, 0.2543, 0.2678])","tensor([2, 4, 3, 0, 1])"
6,"tensor([0.2367, 0.2486, 0.6821, 0.1653, 0.1603, 0.2640, 0.3048])","tensor([2, 6, 5, 1, 0, 3, 4])"
7,"tensor([0.1303, 0.7227, 0.7587, 0.4852, 0.2067, 0.1880, 0.1914, 0.2009, 0.2382])","tensor([2, 1, 3, 8, 4, 7, 6, 5, 0])"
8,"tensor([0.1769, 0.2890, 0.0761, 0.1761, 0.1264])","tensor([1, 0, 3, 4, 2])"
9,"tensor([0.1038, 0.1157, 0.1562, 0.0665, 0.2445, 0.6637])","tensor([5, 4, 2, 1, 0, 3])"
10,"tensor([0.0515, 0.2060, 0.1130, 0.0850, 0.3706, 0.4421])","tensor([5, 4, 1, 2, 3, 0])"
11,"tensor([0.2247, 0.2403, 0.1805, 0.1143, 0.2360, 0.1243, 0.1243])","tensor([1, 4, 0, 2, 5, 6, 3])"
12,"tensor([0.4376, 0.4838, 0.7770, 0.7567, 0.8118, 0.5097, 0.5511, 0.5234, 0.7277])","tensor([4, 2, 3, 8, 6, 7, 5, 1, 0])"
13,"tensor([0.3277, 0.3737, 0.4780, 0.4201, 0.0822])","tensor([2, 3, 1, 0, 4])"
14,"tensor([0.4030, 0.2742, 0.7515, 0.5121, 0.8337, 0.6236])","tensor([4, 2, 5, 3, 0, 1])"
15,"tensor([0.1796, 0.7109, 0.4043, 0.4186, 0.2338])","tensor([1, 3, 2, 4, 0])"
16,"tensor([0.1083, 0.6534, 0.6442, 0.6403, 0.6346, 0.7610, 0.8973])","tensor([6, 5, 1, 2, 3, 4, 0])"
17,"tensor([0.0766, 0.0481, 0.4546, 0.0502, 0.3122, 0.2488, 0.3039])","tensor([2, 4, 6, 5, 0, 3, 1])"
18,"tensor([ 0.7543,  0.6686,  0.1431,  0.0306,  0.0169,  0.0285, -0.0021])","tensor([0, 1, 2, 3, 5, 4, 6])"
19,"tensor([0.3350, 0.3145, 0.2839, 0.5863, 0.4338])","tensor([3, 4, 0, 1, 2])"
20,"tensor([0.2895, 0.2911, 0.1393, 0.5453, 0.1180])","tensor([3, 1, 0, 2, 4])"
21,"tensor([0.3820, 0.1759, 0.4264, 0.2727, 0.1515, 0.4373, 0.1572, 0.2564])","tensor([5, 2, 0, 3, 7, 1, 6, 4])"
22,"tensor([0.2105, 0.7612, 0.3224, 0.3353, 0.2525, 0.3703])","tensor([1, 5, 3, 2, 4, 0])"
23,"tensor([0.2761, 0.4613, 0.7249, 0.4279, 0.2737])","tensor([2, 1, 3, 0, 4])"
24,"tensor([0.1693, 0.1044, 0.1593, 0.0920, 0.4594, 0.1468])","tensor([4, 0, 2, 5, 1, 3])"
25,"tensor([0.1989, 0.1560, 0.2068, 0.7019, 0.3141, 0.2222])","tensor([3, 4, 5, 2, 0, 1])"
26,"tensor([0.6439, 0.3521, 0.2854, 0.2785, 0.2450])","tensor([0, 1, 2, 3, 4])"
27,"tensor([0.1124, 0.1162, 0.6357, 0.1875, 0.2891, 0.4964])","tensor([2, 5, 4, 3, 1, 0])"
28,"tensor([ 0.1962,  0.5382,  0.1812, -0.0208, -0.0149,  0.0378,  0.7988,  0.1155])","tensor([6, 1, 0, 2, 7, 5, 4, 3])"
29,"tensor([0.0213, 0.4168, 0.7586, 0.7807, 0.4020])","tensor([3, 2, 1, 4, 0])"
30,"tensor([0.2839, 0.2688, 0.2811, 0.2529, 0.2296, 0.5509, 0.7199, 0.8682])","tensor([7, 6, 5, 0, 2, 1, 3, 4])"
31,"tensor([-0.0562,  0.0199,  0.1165,  0.4861,  0.0788])","tensor([3, 2, 4, 1, 0])"
32,"tensor([0.1192, 0.2510, 0.1300, 0.8036, 0.1319, 0.3334, 0.2377, 0.3207])","tensor([3, 5, 7, 1, 6, 4, 2, 0])"
33,"tensor([0.1515, 0.2120, 0.3332, 0.4340, 0.2280, 0.2280, 0.2626])","tensor([3, 2, 6, 5, 4, 1, 0])"
34,"tensor([ 0.5576,  0.3029, -0.0221,  0.0166,  0.1052])","tensor([0, 1, 4, 3, 2])"
35,"tensor([0.1580, 0.2059, 0.2615, 0.3350, 0.6783, 0.3807, 0.3231])","tensor([4, 5, 3, 6, 2, 1, 0])"
36,"tensor([0.1159, 0.2369, 0.2707, 0.4462, 0.7018])","tensor([4, 3, 2, 1, 0])"
37,"tensor([0.2556, 0.1546, 0.2769, 0.2692, 0.4147])","tensor([4, 2, 3, 0, 1])"
38,"tensor([0.3035, 0.2430, 0.0687, 0.1822, 0.8055, 0.1252, 0.0092, 0.3491])","tensor([4, 7, 0, 1, 3, 5, 2, 6])"
39,"tensor([0.1217, 0.0690, 0.2261, 0.0871, 0.2375, 0.8819, 0.0845])","tensor([5, 4, 2, 0, 3, 6, 1])"
40,"tensor([0.1215, 0.1413, 0.6062, 0.0024, 0.0634])","tensor([2, 1, 0, 4, 3])"
41,"tensor([0.5333, 0.6996, 0.2893, 0.4607, 0.6028])","tensor([1, 4, 0, 3, 2])"
42,"tensor([0.0907, 0.2161, 0.2281, 0.2408, 0.2469, 0.0827, 0.0683, 0.5789])","tensor([7, 4, 3, 2, 1, 0, 5, 6])"
43,"tensor([ 0.1493,  0.1726,  0.0993,  0.1303,  0.0633, -0.0495])","tensor([1, 0, 3, 2, 4, 5])"
44,"tensor([0.2279, 0.7618, 0.3600, 0.2024, 0.1752])","tensor([1, 2, 0, 3, 4])"
45,"tensor([0.1765, 0.2237, 0.2352, 0.1956, 0.7831, 0.1850])","tensor([4, 2, 1, 3, 5, 0])"
46,"tensor([0.2019, 0.0835, 0.1317, 0.5728, 0.7966, 0.1593, 0.4665, 0.2460, 0.0541])","tensor([4, 3, 6, 7, 0, 5, 2, 1, 8])"
47,"tensor([0.6142, 0.6674, 0.4021, 0.1229, 0.1817, 0.1386, 0.0733])","tensor([1, 0, 2, 4, 5, 3, 6])"
48,"tensor([0.0307, 0.1468, 0.1066, 0.1317, 0.1683])","tensor([4, 1, 3, 2, 0])"
