,cos_scores,sorted_snippets
0,"tensor([ 0.0747, -0.0054,  0.0288,  0.0692,  0.0282,  0.0721,  0.0529,  0.1084,
         0.0677,  0.1616, -0.0527, -0.0032, -0.0348,  0.2047,  0.4626,  0.4981,
         0.3610,  0.4014,  0.0763,  0.1733])","tensor([15, 14, 17, 16, 13, 19,  9,  7, 18,  0,  5,  3,  8,  6,  2,  4, 11,  1,
        12, 10])"
1,"tensor([0.0879, 0.0909, 0.0704, 0.1609, 0.2122, 0.1470, 0.1665, 0.1944, 0.1539,
        0.2289, 0.4328, 0.4448, 0.4268, 0.3186, 0.4750, 0.2781])","tensor([14, 11, 10, 12, 13, 15,  9,  4,  7,  6,  3,  8,  5,  1,  0,  2])"
2,"tensor([0.5035, 0.4476, 0.2936, 0.1671, 0.2925, 0.3206, 0.1972, 0.4692, 0.4425,
        0.4251, 0.5260, 0.4504, 0.4727, 0.4343, 0.4251, 0.4106, 0.3422, 0.3865,
        0.3797, 0.5025, 0.4218, 0.5281, 0.4662, 0.5115, 0.7641, 0.3097, 0.1843,
        0.3683, 0.3046])","tensor([24, 21, 10, 23,  0, 19, 12,  7, 22, 11,  1,  8, 13,  9, 14, 20, 15, 17,
        18, 27, 16,  5, 25, 28,  2,  4,  6, 26,  3])"
3,"tensor([0.3930, 0.4595, 0.4803, 0.3346, 0.4198, 0.4274, 0.4579, 0.5498, 0.5155,
        0.4843, 0.4634, 0.2503])","tensor([ 7,  8,  9,  2, 10,  1,  6,  5,  4,  0,  3, 11])"
4,"tensor([0.3332, 0.1991, 0.1520, 0.2803, 0.2388, 0.1831, 0.2693, 0.4050, 0.2584,
        0.3010, 0.6179, 0.2522, 0.2382, 0.3046, 0.3108, 0.2511, 0.2891, 0.2842,
        0.2580, 0.3106, 0.2624, 0.2844, 0.2862, 0.3081, 0.2783, 0.2893, 0.2736,
        0.2962, 0.1191, 0.2758, 0.3277, 0.2517, 0.2517, 0.2573, 0.2084, 0.3263,
        0.2142, 0.2398, 0.2111, 0.2890, 0.2478, 0.3326, 0.1797, 0.2356, 0.2328,
        0.2110, 0.1424, 0.1847, 0.1919, 0.1985, 0.1932, 0.3016])","tensor([10,  7,  0, 41, 30, 35, 14, 19, 23, 13, 51,  9, 27, 25, 16, 39, 22, 21,
        17,  3, 24, 29, 26,  6, 20,  8, 18, 33, 11, 31, 32, 15, 40, 37,  4, 12,
        43, 44, 36, 38, 45, 34,  1, 49, 50, 48, 47,  5, 42,  2, 46, 28])"
5,"tensor([0.5993, 0.0508, 0.3727, 0.3664, 0.3860, 0.3663, 0.3270, 0.4698, 0.5359,
        0.5108, 0.4807])","tensor([ 0,  8,  9, 10,  7,  4,  2,  3,  5,  6,  1])"
6,"tensor([0.4670, 0.5841, 0.6117, 0.2504, 0.3570, 0.2246, 0.2294, 0.1089, 0.4172,
        0.4559, 0.3915, 0.7034, 0.4754, 0.3702, 0.3750, 0.2932, 0.5780, 0.4090])","tensor([11,  2,  1, 16, 12,  0,  9,  8, 17, 10, 14, 13,  4, 15,  3,  6,  5,  7])"
7,"tensor([0.1163, 0.0424, 0.0738, 0.0229, 0.1992, 0.2647, 0.2753, 0.3152, 0.3045,
        0.2968, 0.3006])","tensor([ 7,  8, 10,  9,  6,  5,  4,  0,  2,  1,  3])"
8,"tensor([ 0.3423,  0.1933,  0.1653,  0.6058,  0.2218,  0.3251,  0.2454,  0.3165,
         0.2106,  0.3977,  0.2687,  0.2960,  0.2894,  0.3415,  0.2233,  0.3887,
         0.5188,  0.2313,  0.1374, -0.0293,  0.1036,  0.7269,  0.2593,  0.2293,
         0.2063,  0.2501,  0.0902,  0.1758,  0.2826,  0.2477])","tensor([21,  3, 16,  9, 15,  0, 13,  5,  7, 11, 12, 28, 10, 22, 25, 29,  6, 17,
        23, 14,  4,  8, 24,  1, 27,  2, 18, 20, 26, 19])"
9,"tensor([0.1019, 0.0935, 0.1071, 0.1101, 0.2065, 0.1857, 0.0228, 0.2258, 0.3951,
        0.4035, 0.3083, 0.4237, 0.2025, 0.4069])","tensor([11, 13,  9,  8, 10,  7,  4, 12,  5,  3,  2,  0,  1,  6])"
10,"tensor([ 0.0185,  0.0871, -0.0480, -0.0465,  0.0207,  0.0256, -0.0312, -0.0008,
         0.0542,  0.0108,  0.0924,  0.1108, -0.0799, -0.0089, -0.0804,  0.1769,
         0.3881,  0.6427,  0.4190,  0.4004,  0.0577,  0.1424])","tensor([17, 18, 19, 16, 15, 21, 11, 10,  1, 20,  8,  5,  4,  0,  9,  7, 13,  6,
         3,  2, 12, 14])"
11,"tensor([0.2199, 0.2418, 0.1965, 0.2349, 0.2182, 0.1642, 0.3066, 0.2752, 0.5334,
        0.2229, 0.2179, 0.3120, 0.4210, 0.2165, 0.1617, 0.1568, 0.4328])","tensor([ 8, 16, 12, 11,  6,  7,  1,  3,  9,  0,  4, 10, 13,  2,  5, 14, 15])"
