,cos_scores,sorted_snippets
0,"tensor([0.1748, 0.1563, 0.1436, 0.1248, 0.1347, 0.0923, 0.1303, 0.2404, 0.1852,
        0.2325, 0.1548, 0.0385, 0.0487, 0.0893, 0.8854, 0.5740, 0.5399, 0.4644,
        0.0459, 0.2296])","tensor([14, 15, 16, 17,  7,  9, 19,  8,  0,  1, 10,  2,  4,  6,  3,  5, 13, 12,
        18, 11])"
1,"tensor([0.0785, 0.2817, 0.2506, 0.2216, 0.3801, 0.3730, 0.3192, 0.3681, 0.1723,
        0.1058, 0.4948, 0.5454, 0.5235, 0.5518, 0.8201, 0.2578])","tensor([14, 13, 11, 12, 10,  4,  5,  7,  6,  1, 15,  2,  3,  8,  9,  0])"
2,"tensor([-0.0867,  0.1493,  0.2643,  0.0901,  0.1581,  0.0790,  0.2079,  0.3687,
         0.4452,  0.3762,  0.4504,  0.3975,  0.3349,  0.3668,  0.1867,  0.1531,
         0.1746,  0.2702,  0.4418,  0.2772,  0.1792,  0.2494,  0.3685,  0.0614,
         0.7929,  0.1723,  0.0633,  0.0776,  0.1158])","tensor([24, 10,  8, 18, 11,  9,  7, 22, 13, 12, 19, 17,  2, 21,  6, 14, 20, 16,
        25,  4, 15,  1, 28,  3,  5, 27, 26, 23,  0])"
3,"tensor([0.2707, 0.1079, 0.2584, 0.1826, 0.1060, 0.1717, 0.3446, 0.5714, 0.2769,
        0.1805, 0.1943, 0.1907])","tensor([ 7,  6,  8,  0,  2, 10, 11,  3,  9,  5,  1,  4])"
4,"tensor([0.2399, 0.0752, 0.1136, 0.1341, 0.1363, 0.0235, 0.0176, 0.0762, 0.0848,
        0.1805, 0.5520, 0.2355, 0.1375, 0.1658, 0.0994, 0.0881, 0.0453, 0.0974,
        0.0372, 0.0725, 0.0799, 0.1648, 0.1498, 0.0353, 0.1036, 0.1053, 0.0254,
        0.1616, 0.1991, 0.0158, 0.0843, 0.0276, 0.0910, 0.1071, 0.1304, 0.0781,
        0.1596, 0.1522, 0.1553, 0.1934, 0.0953, 0.1231, 0.0719, 0.0165, 0.1506,
        0.0591, 0.0811, 0.0413, 0.1029, 0.1016, 0.1179, 0.0720])","tensor([10,  0, 11, 28, 39,  9, 13, 21, 27, 36, 38, 37, 44, 22, 12,  4,  3, 34,
        41, 50,  2, 33, 25, 24, 48, 49, 14, 17, 40, 32, 15,  8, 30, 46, 20, 35,
         7,  1, 19, 51, 42, 45, 16, 47, 18, 23, 31, 26,  5,  6, 43, 29])"
5,"tensor([0.8989, 0.1011, 0.5002, 0.4734, 0.4130, 0.4660, 0.4605, 0.5198, 0.1794,
        0.2494, 0.3346])","tensor([ 0,  7,  2,  3,  5,  6,  4, 10,  9,  8,  1])"
6,"tensor([0.1180, 0.0924, 0.0924, 0.0378, 0.1184, 0.2546, 0.3065, 0.0145, 0.1180,
        0.2548, 0.2722, 0.6754, 0.2964, 0.1767, 0.4380, 0.1010, 0.1154, 0.4797])","tensor([11, 17, 14,  6, 12, 10,  9,  5, 13,  4,  8,  0, 16, 15,  2,  1,  3,  7])"
7,"tensor([0.0625, 0.1374, 0.0433, 0.0198, 0.3305, 0.5283, 0.5365, 0.6101, 0.5549,
        0.5539, 0.5435])","tensor([ 7,  8,  9, 10,  6,  5,  4,  1,  0,  2,  3])"
8,"tensor([0.1136, 0.0599, 0.0959, 0.5725, 0.1261, 0.2570, 0.2767, 0.2241, 0.1326,
        0.3726, 0.3317, 0.2344, 0.4198, 0.3339, 0.1584, 0.2283, 0.2867, 0.1326,
        0.3032, 0.1122, 0.0786, 0.7451, 0.1004, 0.1587, 0.0860, 0.1337, 0.1273,
        0.0324, 0.1563, 0.2812])","tensor([21,  3, 12,  9, 13, 10, 18, 16, 29,  6,  5, 11, 15,  7, 23, 14, 28, 25,
         8, 17, 26,  4,  0, 19, 22,  2, 24, 20,  1, 27])"
9,"tensor([0.0576, 0.0823, 0.1256, 0.0989, 0.1799, 0.1250, 0.1059, 0.0745, 0.4363,
        0.4749, 0.5439, 0.7084, 0.2237, 0.5401])","tensor([11, 10, 13,  9,  8, 12,  4,  2,  5,  6,  3,  1,  7,  0])"
10,"tensor([ 0.1275,  0.2860,  0.0756,  0.1113,  0.0738,  0.0399,  0.0455,  0.0618,
         0.1400,  0.1005,  0.1301,  0.1140,  0.1008,  0.0432, -0.0268,  0.1105,
         0.6271,  0.8271,  0.7396,  0.5196,  0.0384,  0.2026])","tensor([17, 18, 16, 19,  1, 21,  8, 10,  0, 11,  3, 15, 12,  9,  2,  4,  7,  6,
        13,  5, 20, 14])"
11,"tensor([0.0430, 0.1578, 0.2302, 0.1092, 0.1675, 0.2822, 0.4061, 0.2096, 0.4153,
        0.2132, 0.1678, 0.2740, 0.2282, 0.0834, 0.2609, 0.2019, 0.1479])","tensor([ 8,  6,  5, 11, 14,  2, 12,  9,  7, 15, 10,  4,  1, 16,  3, 13,  0])"
12,"tensor([0.1156, 0.0845, 0.2041, 0.3085, 0.1181, 0.3390, 0.4814, 0.2497, 0.0437,
        0.2455, 0.6871, 0.5629, 0.2040, 0.2385, 0.2776, 0.7639, 0.4364, 0.5513])","tensor([15, 10, 11, 17,  6, 16,  5,  3, 14,  7,  9, 13,  2, 12,  4,  0,  1,  8])"
13,"tensor([0.2927, 0.2683, 0.1166, 0.1012, 0.1732, 0.6123, 0.5702, 0.5201, 0.4748,
        0.4399, 0.4838, 0.4309, 0.3422, 0.0545, 0.1908])","tensor([ 5,  6,  7, 10,  8,  9, 11, 12,  0,  1, 14,  4,  2,  3, 13])"
14,"tensor([0.0782, 0.0605, 0.3153, 0.1899, 0.0465, 0.9102, 0.1585, 0.1120, 0.1605,
        0.2131, 0.1069])","tensor([ 5,  2,  9,  3,  8,  6,  7, 10,  0,  1,  4])"
15,"tensor([0.1170, 0.1270, 0.3459, 0.8845, 0.6965, 0.0838, 0.0299, 0.1408, 0.1822,
        0.1823])","tensor([3, 4, 2, 9, 8, 7, 1, 0, 5, 6])"
16,"tensor([0.2242, 0.3594, 0.4371, 0.3357, 0.3020, 0.4689, 0.3081, 0.3607, 0.3576,
        0.4562, 0.4619, 0.4123, 0.2217, 0.2484, 0.2182, 0.1624, 0.5546, 0.1239,
        0.0315, 0.1871, 0.4079, 0.3374, 0.3507, 0.2318, 0.2696, 0.3791, 0.3287,
        0.1877, 0.7475, 0.3327, 0.1686, 0.0545, 0.0801, 0.0255, 0.1553, 0.1055,
        0.2011, 0.2106, 0.1738])","tensor([28, 16,  5, 10,  9,  2, 11, 20, 25,  7,  1,  8, 22, 21,  3, 29, 26,  6,
         4, 24, 13, 23,  0, 12, 14, 37, 36, 27, 19, 38, 30, 15, 34, 17, 35, 32,
        31, 18, 33])"
17,"tensor([0.0248, 0.0638, 0.0534, 0.1390, 0.0374, 0.2088, 0.1712, 0.0778, 0.1490,
        0.1112, 0.1703, 0.1450, 0.1004, 0.0498, 0.1184])","tensor([ 5,  6, 10,  8, 11,  3, 14,  9, 12,  7,  1,  2, 13,  4,  0])"
18,"tensor([0.2785, 0.2769, 0.2811, 0.3319, 0.3125, 0.2488, 0.2838, 0.1267, 0.3220,
        0.2632, 0.2824, 0.4963, 0.2594, 0.2341, 0.2980, 0.2624, 0.2960, 0.3023,
        0.2768, 0.3209, 0.3211, 0.1785, 0.2437, 0.2844, 0.2381, 0.2722, 0.2828,
        0.2633, 0.2609, 0.3496, 0.3401, 0.2681, 0.2837, 0.2622, 0.3229, 0.2888,
        0.3347, 0.1966, 0.3385, 0.2255, 0.2016, 0.2316, 0.2758, 0.2995, 0.2651,
        0.1834, 0.2371, 0.2533, 0.2654, 0.0929, 0.2033, 0.2491, 0.0929, 0.2219,
        0.2537, 0.2313, 0.2285])","tensor([11, 29, 30, 38, 36,  3, 34,  8, 20, 19,  4, 17, 43, 14, 16, 35, 23,  6,
        32, 26, 10,  2,  0,  1, 18, 42, 25, 31, 48, 44, 27,  9, 15, 33, 28, 12,
        54, 47, 51,  5, 22, 24, 46, 13, 41, 55, 56, 39, 53, 50, 40, 37, 45, 21,
         7, 49, 52])"
19,"tensor([ 0.5228,  0.4450,  0.2472,  0.1218,  0.7770,  0.0253, -0.0339,  0.1110,
         0.0219,  0.1040,  0.0366])","tensor([ 4,  0,  1,  2,  3,  7,  9, 10,  5,  8,  6])"
20,"tensor([0.4234, 0.7851, 0.4638, 0.3566, 0.1878, 0.2023, 0.3879, 0.0989, 0.1492,
        0.1450, 0.1414, 0.2059, 0.1571, 0.1219, 0.0609, 0.0533, 0.1772])","tensor([ 1,  2,  0,  6,  3, 11,  5,  4, 16, 12,  8,  9, 10, 13,  7, 14, 15])"
21,"tensor([ 0.0173,  0.0138,  0.0211,  0.0839,  0.1635,  0.0393,  0.1479,  0.0336,
         0.1975, -0.0104])","tensor([8, 4, 6, 3, 5, 7, 2, 0, 1, 9])"
22,"tensor([0.2828, 0.0674, 0.1432, 0.2237, 0.2602, 0.4608, 0.5816, 0.4306, 0.3820,
        0.2664, 0.3551, 0.1161, 0.1825, 0.1348, 0.1741, 0.1705])","tensor([ 6,  5,  7,  8, 10,  0,  9,  4,  3, 12, 14, 15,  2, 13, 11,  1])"
23,"tensor([0.0600, 0.1570, 0.8029, 0.0706, 0.0534, 0.1638, 0.2776, 0.1997, 0.4365,
        0.4278, 0.0716, 0.1165, 0.1194, 0.0753, 0.0358])","tensor([ 2,  8,  9,  6,  7,  5,  1, 12, 11, 13, 10,  3,  0,  4, 14])"
24,"tensor([0.0785, 0.4948, 0.5454, 0.5235, 0.5518, 0.8201, 0.2817, 0.2506, 0.3801,
        0.3730, 0.2146, 0.1058, 0.3268])","tensor([ 5,  4,  2,  3,  1,  8,  9, 12,  6,  7, 10, 11,  0])"
25,"tensor([0.0546, 0.0727, 0.0722, 0.4252, 0.0602, 0.1335, 0.0639, 0.0263, 0.1400,
        0.0411, 0.2060, 0.1695, 0.1262, 0.1463, 0.1474, 0.0592, 0.1175, 0.1024,
        0.0794, 0.0696, 0.0794, 0.1397, 0.1303])","tensor([ 3, 10, 11, 14, 13,  8, 21,  5, 22, 12, 16, 17, 18, 20,  1,  2, 19,  6,
         4, 15,  0,  9,  7])"
26,"tensor([0.3371, 0.3239, 0.2070, 0.5278, 0.7694, 0.0706, 0.0022, 0.1098, 0.1362,
        0.0968, 0.1399, 0.1129, 0.1136, 0.0518, 0.1467, 0.0897, 0.1340])","tensor([ 4,  3,  0,  1,  2, 14, 10,  8, 16, 12, 11,  7,  9, 15,  5, 13,  6])"
27,"tensor([ 0.0877,  0.1122,  0.0447,  0.3473, -0.0283,  0.1028,  0.0517,  0.0275,
         0.1115, -0.0313,  0.1226,  0.2741, -0.0380,  0.1121,  0.1441,  0.0394,
        -0.0121,  0.1413,  0.0261,  0.1086,  0.1403,  0.1461,  0.0128,  0.0480,
         0.0623,  0.0007,  0.0308,  0.0889,  0.0018,  0.0703,  0.1145,  0.1108,
        -0.0729,  0.1248,  0.1208,  0.0667,  0.4568])","tensor([36,  3, 11, 21, 14, 17, 20, 33, 10, 34, 30,  1, 13,  8, 31, 19,  5, 27,
         0, 29, 35, 24,  6, 23,  2, 15, 26,  7, 18, 22, 28, 25, 16,  4,  9, 12,
        32])"
28,"tensor([0.1494, 0.1388, 0.1201, 0.0612, 0.1673, 0.1921, 0.1468, 0.3545, 0.3668,
        0.3313, 0.3248, 0.3628, 0.6810, 0.3820, 0.3652, 0.2949])","tensor([12, 13,  8, 14, 11,  7,  9, 10, 15,  5,  4,  0,  6,  1,  2,  3])"
29,"tensor([ 0.1593,  0.1734, -0.0069,  0.2590,  0.1898,  0.2220,  0.0558,  0.2488,
         0.2173,  0.5399, -0.0187,  0.1661,  0.1649,  0.0531,  0.1602,  0.1272])","tensor([ 9,  3,  7,  5,  8,  4,  1, 11, 12, 14,  0, 15,  6, 13,  2, 10])"
30,"tensor([ 0.1726,  0.3320,  0.0640,  0.0598,  0.1325,  0.0160,  0.1760,  0.1034,
        -0.0271,  0.1456,  0.4751,  0.3448,  0.4965,  0.3137,  0.3893,  0.3416,
         0.2358,  0.2881,  0.0022,  0.0077])","tensor([12, 10, 14, 11, 15,  1, 13, 17, 16,  6,  0,  9,  4,  7,  2,  3,  5, 19,
        18,  8])"
31,"tensor([0.3362, 0.3253, 0.3209, 0.3283, 0.3176, 0.3348, 0.2696, 0.5012, 0.5343,
        0.5818, 0.2809, 0.3827, 0.2129, 0.1461])","tensor([ 9,  8,  7, 11,  0,  5,  3,  1,  2,  4, 10,  6, 12, 13])"
32,"tensor([ 0.0527,  0.1159,  0.0820,  0.5201,  0.1007,  0.1171,  0.0107,  0.0268,
         0.0836, -0.0252,  0.2232,  0.0992,  0.1462,  0.0263,  0.1112,  0.0357,
         0.1598,  0.0854,  0.0860,  0.0290,  0.0323])","tensor([ 3, 10, 16, 12,  5,  1, 14,  4, 11, 18, 17,  8,  2,  0, 15, 20, 19,  7,
        13,  6,  9])"
33,"tensor([0.1234, 0.0891, 0.1202, 0.1260, 0.0505, 0.3247, 0.2878, 0.2425, 0.6527,
        0.6810, 0.7532, 0.6092])","tensor([10,  9,  8, 11,  5,  6,  7,  3,  0,  2,  1,  4])"
34,"tensor([ 0.0775,  0.0893,  0.0743,  0.0596, -0.0800,  0.0520,  0.0326,  0.2565,
         0.5779,  0.2601,  0.2376,  0.2662,  0.2799,  0.2738,  0.6164,  0.3093,
         0.0881,  0.2192,  0.0463,  0.0978,  0.0222,  0.0180,  0.0377,  0.0280,
         0.1332])","tensor([14,  8, 15, 12, 13, 11,  9,  7, 10, 17, 24, 19,  1, 16,  0,  2,  3,  5,
        18, 22,  6, 23, 20, 21,  4])"
35,"tensor([0.0694, 0.0851, 0.2382, 0.1704, 0.3231, 0.4012, 0.2784, 0.2392, 0.1470,
        0.3572, 0.1517, 0.3288, 0.1633, 0.2124, 0.2045, 0.3382, 0.3880, 0.2007])","tensor([ 5, 16,  9, 15, 11,  4,  6,  7,  2, 13, 14, 17,  3, 12, 10,  8,  1,  0])"
36,"tensor([ 0.0636,  0.3325,  0.1608,  0.1082,  0.4526,  0.1322,  0.2295,  0.2493,
         0.2012,  0.1414,  0.0549,  0.1709,  0.1255,  0.1129,  0.0389,  0.0703,
         0.1713, -0.0024,  0.0972,  0.1616,  0.1822])","tensor([ 4,  1,  7,  6,  8, 20, 16, 11, 19,  2,  9,  5, 12, 13,  3, 18, 15,  0,
        10, 14, 17])"
37,"tensor([ 0.0585,  0.1272, -0.0025,  0.2570,  0.1826,  0.1007,  0.1300,  0.1160,
         0.0453,  0.0756,  0.0256,  0.0725,  0.1385, -0.0084,  0.0811,  0.1878,
         0.3971,  0.1154,  0.1411,  0.0467,  0.0254,  0.0898,  0.1325,  0.0487,
         0.0585,  0.2048,  0.0080,  0.1191])","tensor([16,  3, 25, 15,  4, 18, 12, 22,  6,  1, 27,  7, 17,  5, 21, 14,  9, 11,
         0, 24, 23, 19,  8, 10, 20, 26,  2, 13])"
38,"tensor([0.0827, 0.0897, 0.1316, 0.0226, 0.0678, 0.2254, 0.1739, 0.3636, 0.5077,
        0.4033, 0.7799, 0.8693])","tensor([11, 10,  8,  9,  7,  5,  6,  2,  1,  0,  4,  3])"
39,"tensor([0.0695, 0.1823, 0.6483, 0.0989, 0.0873, 0.5566, 0.1542, 0.0799, 0.0723,
        0.0196, 0.0835])","tensor([ 2,  5,  1,  6,  3,  4, 10,  7,  8,  0,  9])"
40,"tensor([0.2220, 0.4098, 0.2160, 0.2001, 0.2926, 0.2348, 0.1220, 0.0798, 0.2228,
        0.1746, 0.2054, 0.2740, 0.1744, 0.1744, 0.1744, 0.0568])","tensor([ 1,  4, 11,  5,  8,  0,  2, 10,  3,  9, 12, 13, 14,  6,  7, 15])"
41,"tensor([0.1553, 0.1204, 0.1642, 0.4869, 0.7543, 0.4540, 0.1319, 0.2220, 0.0777,
        0.1086, 0.1209, 0.1930])","tensor([ 4,  3,  5,  7, 11,  2,  0,  6, 10,  1,  9,  8])"
42,"tensor([0.0557, 0.1163, 0.0697, 0.1376, 0.0908, 0.0321, 0.0782, 0.2447, 0.0694,
        0.0825, 0.1268, 0.1645, 0.1740, 0.1618, 0.1261, 0.1401, 0.3576, 0.2554,
        0.1966, 0.1125, 0.1707, 0.0287, 0.0477, 0.0506, 0.1276, 0.2376, 0.2143,
        0.0785, 0.0724, 0.0309, 0.1236, 0.2334, 0.1491, 0.2101, 0.1651, 0.0796,
        0.1526])","tensor([16, 17,  7, 25, 31, 26, 33, 18, 12, 20, 34, 11, 13, 36, 32, 15,  3, 24,
        10, 14, 30,  1, 19,  4,  9, 35, 27,  6, 28,  2,  8,  0, 23, 22,  5, 29,
        21])"
43,"tensor([0.1748, 0.1498, 0.1580, 0.1309, 0.2325, 0.0893, 0.8854, 0.5740, 0.5399,
        0.1480])","tensor([6, 7, 8, 4, 0, 2, 1, 9, 3, 5])"
44,"tensor([0.7080, 0.8806, 0.6184, 0.6190, 0.6022, 0.6059, 0.5798, 0.1534, 0.4523,
        0.1843, 0.1752, 0.1256, 0.0732, 0.0430, 0.1150, 0.2299, 0.1794])","tensor([ 1,  0,  3,  2,  5,  4,  6,  8, 15,  9, 16, 10,  7, 11, 14, 12, 13])"
45,"tensor([0.3259, 0.1591, 0.1974, 0.2870, 0.1951, 0.2381, 0.2550, 0.1321, 0.3137,
        0.2043, 0.1722, 0.1743, 0.2171, 0.2079, 0.2996, 0.1547, 0.1318, 0.1812,
        0.1480, 0.1980, 0.1853, 0.2592, 0.1130, 0.2025, 0.2277, 0.2277, 0.1757,
        0.2671, 0.2838, 0.3606, 0.3109, 0.4418, 0.1865, 0.2091, 0.2496, 0.2017,
        0.1705, 0.1572, 0.2795, 0.1492, 0.2794, 0.3028, 0.2300, 0.2014, 0.2401,
        0.2135, 0.4623, 0.4933, 0.4256, 0.1036, 0.4171, 0.4484, 0.1036, 0.4443,
        0.3971, 0.4717, 0.2706])","tensor([47, 55, 46, 51, 53, 31, 48, 50, 54, 29,  0,  8, 30, 41, 14,  3, 28, 38,
        40, 56, 27, 21,  6, 34, 44,  5, 42, 24, 25, 12, 45, 33, 13,  9, 23, 35,
        43, 19,  2,  4, 32, 20, 17, 26, 11, 10, 36,  1, 37, 15, 39, 18,  7, 16,
        22, 49, 52])"
46,"tensor([0.4465, 0.5835, 0.4268, 0.6098, 0.4262, 0.6173, 0.5199, 0.5084, 0.5961,
        0.4089, 0.5651, 0.4322, 0.6102, 0.2627, 0.6554, 0.4621, 0.5081, 0.4430,
        0.6018, 0.4704, 0.5615, 0.4312, 0.5884, 0.4267, 0.6561, 0.4137, 0.5729,
        0.4081, 0.5094, 0.5994, 0.2653, 0.6089, 0.4365, 0.5608, 0.3533, 0.5837,
        0.4047, 0.5909, 0.3894, 0.5843, 0.3466, 0.5421, 0.3629, 0.5999, 0.3510,
        0.5427, 0.4059, 0.6072, 0.3879, 0.4124, 0.6054, 0.4146, 0.4166, 0.5808,
        0.3952, 0.3518, 0.4473, 0.4461, 0.3727, 0.6121, 0.4336, 0.4703, 0.4188,
        0.6249, 0.4175, 0.5646, 0.3807, 0.9533, 0.7428, 0.5870, 0.4082, 0.6259,
        0.3904, 0.5751, 0.4138, 0.6158, 0.4645, 0.7098, 0.5653, 0.5867, 0.4025,
        0.5827, 0.3189, 0.5422, 0.3441, 0.5559, 0.3634])","tensor([67, 68, 77, 24, 14, 71, 63,  5, 75, 59, 12,  3, 31, 47, 50, 18, 43, 29,
         8, 37, 22, 69, 79, 39, 35,  1, 81, 53, 73, 26, 78, 10, 65, 20, 33, 85,
        45, 83, 41,  6, 28,  7, 16, 19, 61, 76, 15, 56,  0, 57, 17, 32, 60, 11,
        21,  2, 23,  4, 62, 64, 52, 51, 74, 25, 49,  9, 70, 27, 46, 36, 80, 54,
        72, 38, 48, 66, 58, 86, 42, 34, 55, 44, 40, 84, 82, 30, 13])"
