,cos_scores,sorted_snippets
0,"tensor([ 0.2407,  0.1411,  0.1138,  0.1697,  0.0837,  0.0849,  0.1394,  0.2137,
         0.1427,  0.1895,  0.0491, -0.0235,  0.0079,  0.1293,  0.6934,  0.5125,
         0.4900,  0.4011,  0.0515,  0.2040])","tensor([14, 15, 16, 17,  0,  7, 19,  9,  3,  8,  1,  6, 13,  2,  5,  4, 18, 10,
        12, 11])"
1,"tensor([0.1872, 0.2879, 0.2656, 0.2890, 0.3947, 0.3197, 0.3208, 0.4113, 0.2118,
        0.1735, 0.5944, 0.5070, 0.5044, 0.5278, 0.6910, 0.2401])","tensor([14, 10, 13, 11, 12,  7,  4,  6,  5,  3,  1,  2, 15,  8,  0,  9])"
2,"tensor([0.2047, 0.2701, 0.2650, 0.1284, 0.1553, 0.2065, 0.1407, 0.3500, 0.4448,
        0.4268, 0.4680, 0.3979, 0.4143, 0.3655, 0.2761, 0.1420, 0.1656, 0.3717,
        0.4544, 0.3970, 0.2934, 0.4803, 0.4459, 0.2183, 0.8236, 0.1741, 0.1343,
        0.2159, 0.1648])","tensor([24, 21, 10, 18, 22,  8,  9, 12, 11, 19, 17, 13,  7, 20, 14,  1,  2, 23,
        27,  5,  0, 25, 16, 28,  4, 15,  6, 26,  3])"
3,"tensor([0.4206, 0.3555, 0.4351, 0.3714, 0.3103, 0.3861, 0.4495, 0.7267, 0.4437,
        0.3440, 0.3699, 0.2560])","tensor([ 7,  6,  8,  2,  0,  5,  3, 10,  1,  9,  4, 11])"
4,"tensor([0.3037, 0.1773, 0.1586, 0.2009, 0.1629, 0.0892, 0.1044, 0.1508, 0.1645,
        0.3067, 0.6236, 0.2679, 0.1431, 0.1616, 0.1637, 0.1048, 0.2217, 0.1213,
        0.1828, 0.1694, 0.1959, 0.1066, 0.0901, 0.2156, 0.1520, 0.1680, 0.0827,
        0.1767, 0.1553, 0.1683, 0.2325, 0.1025, 0.1424, 0.1681, 0.1274, 0.2198,
        0.1156, 0.2164, 0.1801, 0.1712, 0.1402, 0.1842, 0.2218, 0.1981, 0.1439,
        0.0527, 0.0811, 0.0413, 0.1588, 0.0810, 0.1006, 0.1415])","tensor([10,  9,  0, 11, 30, 42, 16, 35, 37, 23,  3, 43, 20, 41, 18, 38,  1, 27,
        39, 19, 29, 33, 25,  8, 14,  4, 13, 48,  2, 28, 24,  7, 44, 12, 32, 51,
        40, 34, 17, 36, 21, 15,  6, 31, 50, 22,  5, 26, 46, 49, 45, 47])"
5,"tensor([0.8386, 0.1011, 0.3771, 0.3815, 0.4126, 0.4434, 0.4162, 0.6254, 0.3874,
        0.4075, 0.2820])","tensor([ 0,  7,  5,  6,  4,  9,  8,  3,  2, 10,  1])"
6,"tensor([0.4187, 0.4435, 0.4703, 0.1067, 0.1190, 0.2546, 0.3065, 0.0145, 0.3511,
        0.4020, 0.2966, 0.6709, 0.4172, 0.3745, 0.4896, 0.1376, 0.4467, 0.4609])","tensor([11, 14,  2, 17, 16,  1,  0, 12,  9, 13,  8,  6, 10,  5, 15,  4,  3,  7])"
7,"tensor([0.1510, 0.1360, 0.0734, 0.0993, 0.2834, 0.3732, 0.3756, 0.4083, 0.3779,
        0.3719, 0.3652])","tensor([ 7,  8,  6,  5,  9, 10,  4,  0,  1,  3,  2])"
8,"tensor([0.3671, 0.1529, 0.1017, 0.6195, 0.1963, 0.3399, 0.3104, 0.2404, 0.1563,
        0.4568, 0.3554, 0.2785, 0.3380, 0.3604, 0.0581, 0.2692, 0.4560, 0.1638,
        0.2848, 0.0915, 0.1224, 0.8030, 0.1739, 0.1635, 0.2476, 0.2698, 0.2103,
        0.0746, 0.2543, 0.2893])","tensor([21,  3,  9, 16,  0, 13, 10,  5, 12,  6, 29, 18, 11, 25, 15, 28, 24,  7,
        26,  4, 22, 17, 23,  8,  1, 20,  2, 19, 27, 14])"
9,"tensor([0.1819, 0.1473, 0.1259, 0.1127, 0.2307, 0.2128, 0.0386, 0.1191, 0.5261,
        0.4589, 0.5004, 0.5824, 0.2426, 0.5294])","tensor([11, 13,  8, 10,  9, 12,  4,  5,  0,  1,  2,  7,  3,  6])"
10,"tensor([ 0.1886,  0.1848,  0.0538,  0.0599,  0.1157,  0.0847, -0.0237,  0.0929,
         0.1485,  0.0728,  0.0878,  0.1132, -0.0201, -0.0192, -0.0404,  0.1401,
         0.5600,  0.7244,  0.6563,  0.4430,  0.0388,  0.1814])","tensor([17, 18, 16, 19,  0,  1, 21,  8, 15,  4, 11,  7, 10,  5,  9,  3,  2, 20,
        13, 12,  6, 14])"
