,cos_scores,sorted_snippets
0,"tensor([0.2349, 0.2250, 0.2519, 0.1666, 0.2666])","tensor([4, 2, 0, 1, 3])"
1,"tensor([0.1221, 0.2108, 0.1172, 0.3730, 0.3208, 0.5368, 0.1884, 0.0534])","tensor([5, 3, 4, 1, 6, 0, 2, 7])"
2,"tensor([0.0496, 0.2373, 0.0819, 0.3563, 0.3237, 0.3181, 0.6245, 0.7466, 0.4976])","tensor([7, 6, 8, 3, 4, 5, 1, 2, 0])"
3,"tensor([0.4826, 0.1430, 0.3583, 0.2353, 0.2369, 0.2339])","tensor([0, 2, 4, 3, 5, 1])"
4,"tensor([0.1497, 0.2612, 0.2421, 0.2239, 0.1785, 0.1864, 0.1150, 0.7461])","tensor([7, 1, 2, 3, 5, 4, 0, 6])"
5,"tensor([0.1228, 0.0967, 0.6240, 0.1752, 0.2888])","tensor([2, 4, 3, 0, 1])"
6,"tensor([0.1356, 0.3705, 0.7144, 0.1339, 0.0892, 0.2307, 0.5674])","tensor([2, 6, 1, 5, 0, 3, 4])"
7,"tensor([0.1542, 0.7672, 0.8057, 0.4002, 0.0193, 0.0836, 0.0418, 0.0590, 0.0148])","tensor([2, 1, 3, 0, 5, 7, 6, 4, 8])"
8,"tensor([0.1854, 0.3141, 0.0883, 0.0845, 0.1199])","tensor([1, 0, 4, 2, 3])"
9,"tensor([-0.0560, -0.0040,  0.1367,  0.0624,  0.2198,  0.6714])","tensor([5, 4, 2, 3, 1, 0])"
10,"tensor([0.2691, 0.1964, 0.1927, 0.2415, 0.3924, 0.3597])","tensor([4, 5, 0, 3, 1, 2])"
11,"tensor([0.2448, 0.2217, 0.2680, 0.2144, 0.0386, 0.6899, 0.3347])","tensor([5, 6, 2, 0, 1, 3, 4])"
12,"tensor([0.2443, 0.6406, 0.3969, 0.4951, 0.5677, 0.2808, 0.4198, 0.2751, 0.2928])","tensor([1, 4, 3, 6, 2, 8, 5, 7, 0])"
13,"tensor([ 0.0433,  0.0519,  0.3995,  0.2977, -0.0863])","tensor([2, 3, 1, 0, 4])"
14,"tensor([0.4320, 0.2958, 0.7449, 0.4430, 0.8731, 0.5812])","tensor([4, 2, 5, 3, 0, 1])"
15,"tensor([0.5594, 0.7622, 0.5142, 0.5121, 0.4574])","tensor([1, 0, 2, 3, 4])"
16,"tensor([0.0785, 0.5841, 0.5800, 0.7049, 0.6793, 0.7300, 0.7677])","tensor([6, 5, 3, 4, 1, 2, 0])"
17,"tensor([0.0034, 0.1121, 0.6368, 0.2055, 0.2636, 0.1416, 0.1069])","tensor([2, 4, 3, 5, 1, 6, 0])"
