,cos_scores,sorted_snippets
0,"tensor([0.8101, 0.7813, 0.7821, 0.8002, 0.7842])","tensor([0, 3, 4, 2, 1])"
1,"tensor([0.7826, 0.7597, 0.7732, 0.8338, 0.7780, 0.8800, 0.7705, 0.7343])","tensor([5, 3, 0, 4, 2, 6, 1, 7])"
2,"tensor([0.7722, 0.8246, 0.7848, 0.8456, 0.8377, 0.8146, 0.8900, 0.9060, 0.8734])","tensor([7, 6, 8, 3, 4, 1, 5, 2, 0])"
3,"tensor([0.8547, 0.7297, 0.7990, 0.8195, 0.7934, 0.7718])","tensor([0, 3, 2, 4, 5, 1])"
4,"tensor([0.7576, 0.7605, 0.7481, 0.7456, 0.8116, 0.8149, 0.7560, 0.8641])","tensor([7, 5, 4, 1, 0, 6, 2, 3])"
5,"tensor([0.7909, 0.8054, 0.9278, 0.8408, 0.8440])","tensor([2, 4, 3, 1, 0])"
6,"tensor([0.7950, 0.8054, 0.8592, 0.7846, 0.7699, 0.8214, 0.8329])","tensor([2, 6, 5, 1, 0, 3, 4])"
7,"tensor([0.7812, 0.8612, 0.8825, 0.7890, 0.7817, 0.7754, 0.7757, 0.7725, 0.8022])","tensor([2, 1, 8, 3, 4, 0, 6, 5, 7])"
8,"tensor([0.8035, 0.7936, 0.7486, 0.7464, 0.7664])","tensor([0, 1, 4, 2, 3])"
9,"tensor([0.7243, 0.7186, 0.7668, 0.7562, 0.7574, 0.8823])","tensor([5, 2, 4, 3, 0, 1])"
10,"tensor([0.7646, 0.8024, 0.7905, 0.7627, 0.8492, 0.8755])","tensor([5, 4, 1, 2, 0, 3])"
11,"tensor([0.7904, 0.7837, 0.7960, 0.7804, 0.7979, 0.7851, 0.7851])","tensor([4, 2, 0, 5, 6, 1, 3])"
12,"tensor([0.8275, 0.8399, 0.8769, 0.9032, 0.9376, 0.8337, 0.8626, 0.8458, 0.8701])","tensor([4, 3, 2, 8, 6, 7, 1, 5, 0])"
13,"tensor([0.7695, 0.7547, 0.8415, 0.8335, 0.7404])","tensor([2, 3, 0, 1, 4])"
14,"tensor([0.8752, 0.8047, 0.9260, 0.8935, 0.9540, 0.9191])","tensor([4, 2, 5, 3, 0, 1])"
15,"tensor([0.7690, 0.9073, 0.8212, 0.8376, 0.7742])","tensor([1, 3, 2, 4, 0])"
16,"tensor([0.7444, 0.9350, 0.9360, 0.9456, 0.9219, 0.9559, 0.9550])","tensor([5, 6, 3, 2, 1, 4, 0])"
17,"tensor([0.7262, 0.7436, 0.9048, 0.7775, 0.8098, 0.7649, 0.7783])","tensor([2, 4, 6, 3, 5, 1, 0])"
18,"tensor([0.8960, 0.8874, 0.7816, 0.7525, 0.7748, 0.7689, 0.7705])","tensor([0, 1, 2, 4, 6, 5, 3])"
19,"tensor([0.8334, 0.8310, 0.8090, 0.8924, 0.8417])","tensor([3, 4, 0, 1, 2])"
20,"tensor([0.7861, 0.8206, 0.7831, 0.8822, 0.7580])","tensor([3, 1, 0, 2, 4])"
21,"tensor([0.8398, 0.7803, 0.8047, 0.7970, 0.7604, 0.8115, 0.7581, 0.7849])","tensor([0, 5, 2, 3, 7, 1, 4, 6])"
22,"tensor([0.8024, 0.8906, 0.8159, 0.7942, 0.7840, 0.7993])","tensor([1, 2, 0, 5, 3, 4])"
23,"tensor([0.7725, 0.8098, 0.8976, 0.8250, 0.7773])","tensor([2, 3, 1, 4, 0])"
24,"tensor([0.7877, 0.7726, 0.7894, 0.7543, 0.8375, 0.7744])","tensor([4, 2, 0, 5, 1, 3])"
25,"tensor([0.7741, 0.7912, 0.7734, 0.8896, 0.7892, 0.7514])","tensor([3, 1, 4, 0, 2, 5])"
26,"tensor([0.8882, 0.8330, 0.8438, 0.7909, 0.7879])","tensor([0, 2, 1, 3, 4])"
27,"tensor([0.7600, 0.7536, 0.8736, 0.7570, 0.7861, 0.8347])","tensor([2, 5, 4, 0, 3, 1])"
28,"tensor([0.7933, 0.7965, 0.7942, 0.7532, 0.7548, 0.7610, 0.9497, 0.7678])","tensor([6, 1, 2, 0, 7, 5, 4, 3])"
29,"tensor([0.7258, 0.7923, 0.8855, 0.9021, 0.8202])","tensor([3, 2, 4, 1, 0])"
30,"tensor([0.8144, 0.8174, 0.8151, 0.8182, 0.8006, 0.8910, 0.9075, 0.9594])","tensor([7, 6, 5, 3, 1, 2, 0, 4])"
31,"tensor([0.7375, 0.7449, 0.7417, 0.8634, 0.7893])","tensor([3, 4, 1, 2, 0])"
32,"tensor([0.7961, 0.7631, 0.7513, 0.9176, 0.7496, 0.8200, 0.8075, 0.7988])","tensor([3, 5, 6, 7, 0, 1, 2, 4])"
33,"tensor([0.7876, 0.7873, 0.7963, 0.8461, 0.7751, 0.7918, 0.8012])","tensor([3, 6, 2, 5, 0, 1, 4])"
34,"tensor([0.8973, 0.8200, 0.7373, 0.7369, 0.7476])","tensor([0, 1, 4, 2, 3])"
35,"tensor([0.7588, 0.7732, 0.7963, 0.8059, 0.8967, 0.7959, 0.7915])","tensor([4, 3, 2, 5, 6, 1, 0])"
36,"tensor([0.7837, 0.8082, 0.7925, 0.8250, 0.8790])","tensor([4, 3, 1, 2, 0])"
37,"tensor([0.8103, 0.7753, 0.7957, 0.7868, 0.8322])","tensor([4, 0, 2, 3, 1])"
38,"tensor([0.7975, 0.7901, 0.7467, 0.7978, 0.9127, 0.7935, 0.7839, 0.8211])","tensor([4, 7, 3, 0, 5, 1, 6, 2])"
39,"tensor([0.7721, 0.7887, 0.7697, 0.7605, 0.7888, 0.9503, 0.7673])","tensor([5, 4, 1, 0, 2, 6, 3])"
40,"tensor([0.7616, 0.7664, 0.8769, 0.7593, 0.7695])","tensor([2, 4, 1, 0, 3])"
41,"tensor([0.8162, 0.8758, 0.7885, 0.8444, 0.8858])","tensor([4, 1, 3, 0, 2])"
42,"tensor([0.7737, 0.8263, 0.8395, 0.8172, 0.8227, 0.7630, 0.7573, 0.9002])","tensor([7, 2, 1, 4, 3, 0, 5, 6])"
43,"tensor([0.7645, 0.7826, 0.7466, 0.7739, 0.7670, 0.7512])","tensor([1, 3, 4, 0, 5, 2])"
44,"tensor([0.7839, 0.8862, 0.8246, 0.7842, 0.7537])","tensor([1, 2, 3, 0, 4])"
45,"tensor([0.7696, 0.7712, 0.7403, 0.7408, 0.8710, 0.7739])","tensor([4, 5, 1, 0, 3, 2])"
46,"tensor([0.8107, 0.7676, 0.8023, 0.9168, 0.9584, 0.8119, 0.8629, 0.8307, 0.7821])","tensor([4, 3, 6, 7, 5, 0, 2, 8, 1])"
47,"tensor([0.8429, 0.8519, 0.8229, 0.7648, 0.7866, 0.8022, 0.7886])","tensor([1, 0, 2, 5, 6, 4, 3])"
48,"tensor([0.7888, 0.7722, 0.7528, 0.7643, 0.7904])","tensor([4, 0, 1, 3, 2])"
49,"tensor([0.7654, 0.7628, 0.7511, 0.8986, 0.8484, 0.7849, 0.7668, 0.7763])","tensor([3, 4, 5, 7, 6, 0, 1, 2])"
50,"tensor([0.8692, 0.7930, 0.9112, 0.8473, 0.8460])","tensor([2, 0, 3, 4, 1])"
51,"tensor([0.7911, 0.7894, 0.7746, 0.8862, 0.7886, 0.8042, 0.7766, 0.8069])","tensor([3, 7, 5, 0, 1, 4, 6, 2])"
52,"tensor([0.8948, 0.7898, 0.8472, 0.9014, 0.8379])","tensor([3, 0, 2, 4, 1])"
53,"tensor([0.7444, 0.8625, 0.8086, 0.7799, 0.7832])","tensor([1, 2, 4, 3, 0])"
54,"tensor([0.7441, 0.8515, 0.8060, 0.7638, 0.7684])","tensor([1, 2, 4, 3, 0])"
55,"tensor([0.7719, 0.8104, 0.8487, 0.8834, 0.7460, 0.7520, 0.8067, 0.7865, 0.8074])","tensor([3, 2, 1, 8, 6, 7, 0, 5, 4])"
56,"tensor([0.7789, 0.7656, 0.7579, 0.9110, 0.8969, 0.7926, 0.7716, 0.7980])","tensor([3, 4, 7, 5, 0, 6, 1, 2])"
57,"tensor([0.7906, 0.7752, 0.7812, 0.7809, 0.8653, 0.7848, 0.8331])","tensor([4, 6, 0, 5, 2, 3, 1])"
58,"tensor([0.7508, 0.7781, 0.7752, 0.8389, 0.8346, 0.8523, 0.8390, 0.8123, 0.9008])","tensor([8, 5, 6, 3, 4, 7, 1, 2, 0])"
59,"tensor([0.8179, 0.9674, 0.8874, 0.7618, 0.7507, 0.7797])","tensor([1, 2, 0, 5, 3, 4])"
