,cos_scores,sorted_snippets
0,"tensor([0.7704, 0.7637, 0.7547, 0.7540, 0.7486, 0.7592, 0.7621, 0.7581, 0.7517,
        0.7696, 0.7440, 0.7173, 0.7268, 0.7686, 0.8571, 0.8287, 0.8029, 0.7823,
        0.7485, 0.7594])","tensor([14, 15, 16, 17,  0,  9, 13,  1,  6, 19,  5,  7,  2,  3,  8,  4, 18, 10,
        12, 11])"
1,"tensor([0.7722, 0.7764, 0.7908, 0.7980, 0.8171, 0.8043, 0.8103, 0.8143, 0.7911,
        0.7947, 0.8422, 0.8362, 0.8337, 0.8231, 0.8950, 0.7895])","tensor([14, 10, 11, 12, 13,  4,  7,  6,  5,  3,  9,  8,  2, 15,  1,  0])"
2,"tensor([0.8592, 0.8260, 0.7868, 0.7480, 0.7783, 0.8202, 0.7872, 0.8486, 0.8375,
        0.8369, 0.8691, 0.8669, 0.8599, 0.8344, 0.8545, 0.7763, 0.8312, 0.8316,
        0.8467, 0.8432, 0.8430, 0.8370, 0.8557, 0.8547, 0.9209, 0.8091, 0.7920,
        0.8132, 0.8129])","tensor([24, 10, 11, 12,  0, 22, 23, 14,  7, 18, 19, 20,  8, 21,  9, 13, 17, 16,
         1,  5, 27, 28, 25, 26,  6,  2,  4, 15,  3])"
3,"tensor([0.8395, 0.8129, 0.8548, 0.8318, 0.8353, 0.8303, 0.8272, 0.8699, 0.8538,
        0.8462, 0.8588, 0.7972])","tensor([ 7, 10,  2,  8,  9,  0,  4,  3,  5,  6,  1, 11])"
4,"tensor([0.8268, 0.8028, 0.7974, 0.8163, 0.8214, 0.8011, 0.8155, 0.8450, 0.8068,
        0.8253, 0.8885, 0.8176, 0.8129, 0.8124, 0.8089, 0.8193, 0.8221, 0.7934,
        0.7948, 0.8207, 0.8223, 0.7962, 0.7824, 0.8292, 0.8221, 0.8083, 0.8033,
        0.8174, 0.7886, 0.8048, 0.8215, 0.8103, 0.8042, 0.8060, 0.7902, 0.8204,
        0.8063, 0.8003, 0.8104, 0.7946, 0.8022, 0.8045, 0.8026, 0.8005, 0.7960,
        0.7938, 0.7895, 0.8072, 0.7902, 0.8322, 0.8112, 0.8093])","tensor([10,  7, 49, 23,  0,  9, 20, 24, 16, 30,  4, 19, 35, 15, 11, 27,  3,  6,
        12, 13, 50, 38, 31, 51, 14, 25, 47,  8, 36, 33, 29, 41, 32, 26,  1, 42,
        40,  5, 43, 37,  2, 21, 44, 18, 39, 45, 17, 48, 34, 46, 28, 22])"
5,"tensor([0.8941, 0.7318, 0.8081, 0.8079, 0.8094, 0.8084, 0.8078, 0.8147, 0.8260,
        0.8296, 0.8196])","tensor([ 0,  9,  8, 10,  7,  4,  5,  2,  3,  6,  1])"
6,"tensor([0.8144, 0.8155, 0.8148, 0.7827, 0.7895, 0.8224, 0.8304, 0.7906, 0.8112,
        0.8258, 0.8071, 0.8720, 0.8329, 0.7908, 0.8381, 0.7866, 0.8194, 0.8274])","tensor([11, 14, 12,  6, 17,  9,  5, 16,  1,  2,  0,  8, 10, 13,  7,  4, 15,  3])"
7,"tensor([0.7663, 0.7593, 0.7560, 0.7548, 0.8024, 0.8166, 0.8252, 0.8566, 0.8249,
        0.8152, 0.8183])","tensor([ 7,  6,  8, 10,  5,  9,  4,  0,  1,  2,  3])"
8,"tensor([0.8133, 0.7700, 0.7657, 0.8619, 0.7845, 0.7920, 0.8044, 0.7962, 0.7755,
        0.8202, 0.8047, 0.8013, 0.8025, 0.8004, 0.7884, 0.8074, 0.8189, 0.7623,
        0.7678, 0.7269, 0.7618, 0.8832, 0.7912, 0.7813, 0.7724, 0.7895, 0.7638,
        0.7928, 0.7985, 0.7994])","tensor([21,  3,  9, 16,  0, 15, 10,  6, 12, 11, 13, 29, 28,  7, 27,  5, 22, 25,
        14,  4, 23,  8, 24,  1, 18,  2, 26, 17, 20, 19])"
9,"tensor([0.7589, 0.7977, 0.7924, 0.7858, 0.7951, 0.8044, 0.7829, 0.7929, 0.8388,
        0.8250, 0.8260, 0.8843, 0.8081, 0.8172])","tensor([11,  8, 10,  9, 13, 12,  5,  1,  4,  7,  2,  3,  6,  0])"
10,"tensor([0.7590, 0.7412, 0.7551, 0.7604, 0.7687, 0.7514, 0.7467, 0.7697, 0.7522,
        0.7474, 0.7751, 0.7756, 0.7323, 0.7171, 0.7195, 0.7802, 0.8254, 0.8870,
        0.8363, 0.7938, 0.7541, 0.7694])","tensor([17, 18, 16, 19, 15, 11, 10,  7, 21,  4,  3,  0,  2, 20,  8,  5,  9,  6,
         1, 12, 14, 13])"
11,"tensor([0.7938, 0.7821, 0.7932, 0.7795, 0.7758, 0.7762, 0.8140, 0.7828, 0.8545,
        0.7878, 0.8124, 0.7905, 0.8401, 0.7874, 0.7839, 0.7775, 0.8061])","tensor([ 8, 12,  6, 10, 16,  0,  2, 11,  9, 13, 14,  7,  1,  3, 15,  5,  4])"
12,"tensor([0.7876, 0.7906, 0.7996, 0.7987, 0.7828, 0.8290, 0.8602, 0.8190, 0.7796,
        0.8124, 0.8683, 0.8484, 0.8153, 0.7894, 0.8138, 0.9086, 0.8691, 0.8735])","tensor([15, 17, 16, 10,  6, 11,  5,  7, 12, 14,  9,  2,  3,  1, 13,  0,  4,  8])"
13,"tensor([0.8237, 0.8166, 0.8381, 0.7670, 0.7948, 0.8522, 0.8473, 0.8417, 0.8364,
        0.8290, 0.8381, 0.8359, 0.8413, 0.7553, 0.8014])","tensor([ 5,  6,  7, 12, 10,  2,  8, 11,  9,  0,  1, 14,  4,  3, 13])"
14,"tensor([0.7627, 0.8141, 0.8157, 0.7839, 0.7390, 0.8774, 0.7859, 0.8077, 0.8067,
        0.8099, 0.7796])","tensor([ 5,  2,  1,  9,  7,  8,  6,  3, 10,  0,  4])"
15,"tensor([0.7771, 0.8139, 0.8099, 0.9325, 0.8991, 0.7971, 0.7727, 0.7958, 0.7828,
        0.7900])","tensor([3, 4, 1, 2, 5, 7, 9, 8, 0, 6])"
